node_id,x,y
520,967129.54495049,27293106.007014
521,967132.35640019,27293104.18053
522,967135.16784989,27293102.354046
523,967137.97929959,27293100.527563
524,967140.79074928,27293098.701079
525,967143.60219898,27293096.874596
526,967146.41364868,27293095.048112
527,967149.22509837,27293093.221628
528,967152.03654807,27293091.395145
529,967154.84799777,27293089.568661
530,967129.53343977,27293109.545806
531,967132.35364459,27293107.724676
532,967135.17384941,27293105.903547
533,967137.99405423,27293104.082418
534,967140.81425905,27293102.261288
535,967143.63446387,27293100.440159
536,967146.45466869,27293098.61903
537,967149.27487352,27293096.7979
538,967152.09507834,27293094.976771
539,967154.91528316,27293093.155641
540,967157.73548798,27293091.334512
541,967132.33325835,27293111.258041
542,967135.16224238,27293109.44228
543,967137.9912264,27293107.62652
544,967140.82021042,27293105.81076
545,967143.64919444,27293103.994999
546,967146.47817846,27293102.179239
547,967149.30716248,27293100.363478
548,967152.13614651,27293098.547718
549,967154.96513053,27293096.731957
550,967157.79411455,27293094.916197
551,967160.62309857,27293093.100436
552,967135.13295606,27293112.970202
553,967137.97074346,27293111.159825
554,967140.80853086,27293109.349449
555,967143.64631825,27293107.539072
556,967146.48410565,27293105.728695
557,967149.32189305,27293103.918318
558,967152.15968045,27293102.107942
559,967154.99746785,27293100.297565
560,967157.83525525,27293098.487188
561,967160.67304265,27293096.676812
562,967163.51083005,27293094.866435
563,967137.93253238,27293114.682289
564,967140.77914743,27293112.877311
565,967143.62576248,27293111.072333
566,967146.47237754,27293109.267354
567,967149.31899259,27293107.462376
568,967152.16560764,27293105.657398
569,967155.0122227,27293103.85242
570,967157.85883775,27293102.047442
571,967160.7054528,27293100.242464
572,967163.55206786,27293098.437486
573,967166.39868291,27293096.632507
574,967140.73198681,27293116.394301
575,967143.58745389,27293114.594737
576,967146.44292098,27293112.795172
577,967149.29838806,27293110.995607
578,967152.15385515,27293109.196043
579,967155.00932223,27293107.396478
580,967157.86478932,27293105.596913
581,967160.72025641,27293103.797349
582,967163.57572349,27293101.997784
583,967166.43119058,27293100.198219
584,967169.28665766,27293098.398655
585,967143.53131884,27293118.106239
586,967146.39566244,27293116.312103
587,967149.26000603,27293114.517966
588,967152.12434963,27293112.72383
589,967154.98869323,27293110.929694
590,967157.85303682,27293109.135558
591,967160.71738042,27293107.341422
592,967163.58172402,27293105.547285
593,967166.44606762,27293103.753149
594,967169.31041121,27293101.959013
595,967172.17475481,27293100.164877
596,967146.33052797,27293119.818101
597,967149.20377266,27293118.029408
598,967152.07701735,27293116.240716
599,967154.95026204,27293114.452023
600,967157.82350673,27293112.66333
601,967160.69675141,27293110.874637
602,967163.5699961,27293109.085945
603,967166.44324079,27293107.297252
604,967169.31648548,27293105.508559
605,967172.18973017,27293103.719867
606,967175.06297486,27293101.931174
607,967149.12961369,27293121.529888
608,967152.01178416,27293119.746654
609,967154.89395462,27293117.96342
610,967157.77612508,27293116.180186
611,967160.65829554,27293114.396951
612,967163.54046601,27293112.613717
613,967166.42263647,27293110.830483
614,967169.30480693,27293109.047249
615,967172.18697739,27293107.264015
616,967175.06914785,27293105.480781
617,967177.95131832,27293103.697546
618,967151.92857549,27293123.241599
619,967154.81969651,27293121.463839
620,967157.71081753,27293119.686078
621,967160.60193855,27293117.908318
622,967163.49305958,27293116.130557
623,967166.3841806,27293114.352797
624,967169.27530162,27293112.575037
625,967172.16642264,27293110.797276
626,967175.05754366,27293109.019516
627,967177.94866468,27293107.241755
628,967180.8397857,27293105.463995
629,967154.72741284,27293124.953234
630,967157.62750931,27293123.180963
631,967160.52760578,27293121.408691
632,967163.42770225,27293119.63642
633,967166.32779872,27293117.864148
634,967169.22789519,27293116.091877
635,967172.12799165,27293114.319605
636,967175.02808812,27293112.547334
637,967177.92818459,27293110.775062
638,967180.82828106,27293109.002791
639,967183.72837753,27293107.230519
640,967157.52612522,27293126.664793
641,967160.43522213,27293124.898025
642,967163.34431905,27293123.131258
643,967166.25341596,27293121.364491
644,967169.16251287,27293119.597724
645,967172.07160978,27293117.830957
646,967174.98070669,27293116.064189
647,967177.8898036,27293114.297422
648,967180.79890051,27293112.530655
649,967183.70799742,27293110.763888
650,967186.61709433,27293108.99712
651,967160.32471212,27293128.376275
652,967163.24283457,27293126.615027
653,967166.16095702,27293124.853779
654,967169.07907947,27293123.092532
655,967171.99720192,27293121.331284
656,967174.91532437,27293119.570036
657,967177.83344682,27293117.808789
658,967180.75156926,27293116.047541
659,967183.66969171,27293114.286293
660,967186.58781416,27293112.525046
661,967189.50593661,27293110.763798
662,967163.12317301,27293130.087679
663,967166.0503462,27293128.331967
664,967168.97751939,27293126.576254
665,967171.90469258,27293124.820541
666,967174.83186577,27293123.064829
667,967177.75903896,27293121.309116
668,967180.68621215,27293119.553403
669,967183.61338534,27293117.797691
670,967186.54055852,27293116.041978
671,967189.46773171,27293114.286266
672,967192.3949049,27293112.530553
673,967165.92150736,27293131.799007
674,967168.8577566,27293130.048845
675,967171.79400584,27293128.298682
676,967174.73025507,27293126.54852
677,967177.66650431,27293124.798358
678,967180.60275355,27293123.048196
679,967183.53900278,27293121.298034
680,967186.47525202,27293119.547872
681,967189.41150126,27293117.797709
682,967192.34775049,27293116.047547
683,967195.28399973,27293114.297385
684,967168.71971464,27293133.510256
685,967171.66506534,27293131.76566
686,967174.61041604,27293130.021064
687,967177.55576674,27293128.276468
688,967180.50111744,27293126.531872
689,967183.44646814,27293124.787276
690,967186.39181884,27293123.042679
691,967189.33716954,27293121.298083
692,967192.28252024,27293119.553487
693,967195.22787094,27293117.808891
694,967198.17322164,27293116.064295
695,967171.5177943,27293135.221428
696,967174.47227199,27293133.482413
697,967177.42674967,27293131.743399
698,967180.38122736,27293130.004384
699,967183.33570504,27293128.26537
700,967186.29018273,27293126.526355
701,967189.24466041,27293124.787341
702,967192.1991381,27293123.048326
703,967195.15361578,27293121.309312
704,967198.10809347,27293119.570297
705,967201.06257115,27293117.831283
706,967174.31574583,27293136.932521
707,967177.27937613,27293135.199104
708,967180.24300642,27293133.465687
709,967183.20663672,27293131.73227
710,967186.17026702,27293129.998852
711,967189.13389732,27293128.265435
712,967192.09752762,27293126.532018
713,967195.06115791,27293124.798601
714,967198.02478821,27293123.065184
715,967200.98841851,27293121.331766
716,967203.95204881,27293119.598349
717,967177.11356867,27293138.643536
718,967180.08637732,27293136.915732
719,967183.05918596,27293135.187927
720,967186.03199461,27293133.460123
721,967189.00480326,27293131.732319
722,967191.97761191,27293130.004515
723,967194.95042056,27293128.276711
724,967197.9232292,27293126.548907
